year,manufacturer,Diesel,Electricity,Premium Gasoline,Regular Gasoline
2019,Chevrolet,7.0,2.0,21.0,66.0
2019,Ford,2.0,8.0,8.0,79.0
2019,Nissan,,,,47.0
2020,Chevrolet,5.0,1.0,17.0,57.0
2020,Ford,1.0,7.0,10.0,56.0
2020,Nissan,,,,35.0
2021,Chevrolet,9.0,1.0,20.0,66.0
2021,Ford,1.0,15.0,13.0,68.0
2021,Nissan,,,2.0,36.0
2022,Chevrolet,11.0,2.0,22.0,61.0
2022,Ford,1.0,14.0,11.0,85.0
2022,Nissan,,,3.0,31.0
2023,Chevrolet,8.0,2.0,15.0,44.0
2023,Ford,1.0,13.0,6.0,89.0
2023,Nissan,,,3.0,45.0
2024,Chevrolet,10.0,3.0,15.0,45.0
2024,Ford,4.0,3.0,5.0,46.0
2024,Nissan,,,1.0,32.0
